event,block_id,grid_id,z,x,y,tile_url,local_relpath,tile_bbox_wgs84,request_status,image_sha256,http_status,attempt_utc,failure_reason,source_id,run_id
cache_hit,SSM-B001,SSM-B001-G07,18,229749,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104188.png,raw_tiles/ort_riku10/z18/x229749_y104188.png,"135.512237549,34.600432785,135.513610840,34.601563177",cached,1b86dd15f7ab455c98665d1aca88afa5eb85eed7a0d94c08843e881447757042,200_cached,2026-06-25T14:35:41Z,,S007,SSM-T01D
cache_hit,SSM-B001,SSM-B001-G07,18,229750,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104188.png,raw_tiles/ort_riku10/z18/x229750_y104188.png,"135.513610840,34.600432785,135.514984131,34.601563177",cached,898733fe2c870a0353c3644b72f987dc341c21f87558cc32159a0dfedd1159f0,200_cached,2026-06-25T14:35:41Z,,S007,SSM-T01D
cache_hit,SSM-B001,SSM-B001-G07,18,229751,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104188.png,raw_tiles/ort_riku10/z18/x229751_y104188.png,"135.514984131,34.600432785,135.516357422,34.601563177",cached,28859559b66863a90b9e58f2dfde6a05a81adbfaa2041bf48c2ce2d53cdea898,200_cached,2026-06-25T14:35:41Z,,S007,SSM-T01D
downloaded,SSM-B001,SSM-B001-G07,18,229749,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104189.png,raw_tiles/ort_riku10/z18/x229749_y104189.png,"135.512237549,34.599302377,135.513610840,34.600432785",downloaded,e0c2cae873d5bc39dc3c58ca251b424e06c5e27290ef7c94bfb740ee43de7c1a,200,2026-06-25T14:35:41Z,,S007,SSM-T01D
downloaded,SSM-B001,SSM-B001-G07,18,229750,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104189.png,raw_tiles/ort_riku10/z18/x229750_y104189.png,"135.513610840,34.599302377,135.514984131,34.600432785",downloaded,9e4a482d395f264ae252dd20d9e70afb6022676bc6b4188f77cc5b1e1859b5ed,200,2026-06-25T14:35:42Z,,S007,SSM-T01D
downloaded,SSM-B001,SSM-B001-G07,18,229751,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104189.png,raw_tiles/ort_riku10/z18/x229751_y104189.png,"135.514984131,34.599302377,135.516357422,34.600432785",downloaded,28c8adab23de2ad7ed75a6e1d67f3922491986209461cfbdb62739e103f54822,200,2026-06-25T14:35:43Z,,S007,SSM-T01D
downloaded,SSM-B001,SSM-B001-G07,18,229749,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104190.png,raw_tiles/ort_riku10/z18/x229749_y104190.png,"135.512237549,34.598171954,135.513610840,34.599302377",downloaded,f4e93ec1cbae697ef0abf52599005b8896e18595b5e4ed81bd3fefbb9a877f6d,200,2026-06-25T14:35:44Z,,S007,SSM-T01D
downloaded,SSM-B001,SSM-B001-G07,18,229750,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104190.png,raw_tiles/ort_riku10/z18/x229750_y104190.png,"135.513610840,34.598171954,135.514984131,34.599302377",downloaded,5c14d47ce83b1dc312db213b9e8dfbd737be08273a15ce88711c5e09e379b670,200,2026-06-25T14:35:45Z,,S007,SSM-T01D
downloaded,SSM-B001,SSM-B001-G07,18,229751,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104190.png,raw_tiles/ort_riku10/z18/x229751_y104190.png,"135.514984131,34.598171954,135.516357422,34.599302377",downloaded,80b9c7b1f84de594739612826380bd666f2e0d32467f13f80a46d60208a6a8ed,200,2026-06-25T14:35:46Z,,S007,SSM-T01D
downloaded,SSM-B001,SSM-B001-G07,18,229749,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104191.png,raw_tiles/ort_riku10/z18/x229749_y104191.png,"135.512237549,34.597041516,135.513610840,34.598171954",downloaded,596d608bc1ada4b7d9d27d40ed8b0a07e3691bf7e58880e1732d6c60364d79ea,200,2026-06-25T14:35:46Z,,S007,SSM-T01D
downloaded,SSM-B001,SSM-B001-G07,18,229750,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104191.png,raw_tiles/ort_riku10/z18/x229750_y104191.png,"135.513610840,34.597041516,135.514984131,34.598171954",downloaded,76e016e9e3b7f6773eeda1035677fc9808c27e2e3a691461a31bd71fab8f67d7,200,2026-06-25T14:35:47Z,,S007,SSM-T01D
downloaded,SSM-B001,SSM-B001-G07,18,229751,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104191.png,raw_tiles/ort_riku10/z18/x229751_y104191.png,"135.514984131,34.597041516,135.516357422,34.598171954",downloaded,37d080b74b7abf5a9c0063b05f163b225b578019ead8ff53270d753a901720f1,200,2026-06-25T14:35:48Z,,S007,SSM-T01D
cache_hit,SSM-B001,SSM-B001-G10,18,229749,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104191.png,raw_tiles/ort_riku10/z18/x229749_y104191.png,"135.512237549,34.597041516,135.513610840,34.598171954",cached,596d608bc1ada4b7d9d27d40ed8b0a07e3691bf7e58880e1732d6c60364d79ea,200_cached,2026-06-25T14:35:48Z,,S007,SSM-T01D
cache_hit,SSM-B001,SSM-B001-G10,18,229750,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104191.png,raw_tiles/ort_riku10/z18/x229750_y104191.png,"135.513610840,34.597041516,135.514984131,34.598171954",cached,76e016e9e3b7f6773eeda1035677fc9808c27e2e3a691461a31bd71fab8f67d7,200_cached,2026-06-25T14:35:48Z,,S007,SSM-T01D
