event,block_id,grid_id,z,x,y,tile_url,local_relpath,tile_bbox_wgs84,request_status,image_sha256,http_status,attempt_utc,failure_reason,source_id,run_id
cache_hit,SSM-B001,SSM-B001-G08,18,229751,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104188.png,raw_tiles/ort_riku10/z18/x229751_y104188.png,"135.514984131,34.600432785,135.516357422,34.601563177",cached,28859559b66863a90b9e58f2dfde6a05a81adbfaa2041bf48c2ce2d53cdea898,200_cached,2026-06-25T14:39:00Z,,S007,SSM-T01E
cache_hit,SSM-B001,SSM-B001-G08,18,229752,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104188.png,raw_tiles/ort_riku10/z18/x229752_y104188.png,"135.516357422,34.600432785,135.517730713,34.601563177",cached,b64e3eac7592f94e8c0b366d8e453817deaa623e2d98a0e455403e74c4cad310,200_cached,2026-06-25T14:39:00Z,,S007,SSM-T01E
cache_hit,SSM-B001,SSM-B001-G08,18,229753,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104188.png,raw_tiles/ort_riku10/z18/x229753_y104188.png,"135.517730713,34.600432785,135.519104004,34.601563177",cached,532045c66085c3842b60ca8c6d5bd5e092bda91886b1054b2d065595d3b394f8,200_cached,2026-06-25T14:39:00Z,,S007,SSM-T01E
cache_hit,SSM-B001,SSM-B001-G08,18,229751,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104189.png,raw_tiles/ort_riku10/z18/x229751_y104189.png,"135.514984131,34.599302377,135.516357422,34.600432785",cached,28c8adab23de2ad7ed75a6e1d67f3922491986209461cfbdb62739e103f54822,200_cached,2026-06-25T14:39:00Z,,S007,SSM-T01E
downloaded,SSM-B001,SSM-B001-G08,18,229752,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104189.png,raw_tiles/ort_riku10/z18/x229752_y104189.png,"135.516357422,34.599302377,135.517730713,34.600432785",downloaded,8bd9fbedaae3e5d852f0496fc6a8363081511204c547cc41f54ecdfd2fcf2787,200,2026-06-25T14:39:01Z,,S007,SSM-T01E
downloaded,SSM-B001,SSM-B001-G08,18,229753,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104189.png,raw_tiles/ort_riku10/z18/x229753_y104189.png,"135.517730713,34.599302377,135.519104004,34.600432785",downloaded,46d911721e3955f7bca8d448db52bf5827d8f63b2272581666d0bf3137bd07da,200,2026-06-25T14:39:02Z,,S007,SSM-T01E
cache_hit,SSM-B001,SSM-B001-G08,18,229751,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104190.png,raw_tiles/ort_riku10/z18/x229751_y104190.png,"135.514984131,34.598171954,135.516357422,34.599302377",cached,80b9c7b1f84de594739612826380bd666f2e0d32467f13f80a46d60208a6a8ed,200_cached,2026-06-25T14:39:03Z,,S007,SSM-T01E
downloaded,SSM-B001,SSM-B001-G08,18,229752,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104190.png,raw_tiles/ort_riku10/z18/x229752_y104190.png,"135.516357422,34.598171954,135.517730713,34.599302377",downloaded,6fff9b7e660f93250f3178a7cfa5941b1776255ed9bb7ad5f44fe47e05025285,200,2026-06-25T14:39:04Z,,S007,SSM-T01E
downloaded,SSM-B001,SSM-B001-G08,18,229753,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104190.png,raw_tiles/ort_riku10/z18/x229753_y104190.png,"135.517730713,34.598171954,135.519104004,34.599302377",downloaded,08dbe2b3e718460e1c080eb91c4808aa9a5be117e101d9486e7b90cb7d485098,200,2026-06-25T14:39:05Z,,S007,SSM-T01E
cache_hit,SSM-B001,SSM-B001-G08,18,229751,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104191.png,raw_tiles/ort_riku10/z18/x229751_y104191.png,"135.514984131,34.597041516,135.516357422,34.598171954",cached,37d080b74b7abf5a9c0063b05f163b225b578019ead8ff53270d753a901720f1,200_cached,2026-06-25T14:39:05Z,,S007,SSM-T01E
downloaded,SSM-B001,SSM-B001-G08,18,229752,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104191.png,raw_tiles/ort_riku10/z18/x229752_y104191.png,"135.516357422,34.597041516,135.517730713,34.598171954",downloaded,bfe031dee9bdc0c93ecbd9f103af0964980401abc4be2a801904749d1178372f,200,2026-06-25T14:39:06Z,,S007,SSM-T01E
downloaded,SSM-B001,SSM-B001-G08,18,229753,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104191.png,raw_tiles/ort_riku10/z18/x229753_y104191.png,"135.517730713,34.597041516,135.519104004,34.598171954",downloaded,a45dd00dc9872f09667d45c61c3ed0143013839b3ae344da25515c0c30ca84c2,200,2026-06-25T14:39:07Z,,S007,SSM-T01E
cache_hit,SSM-B001,SSM-B001-G11,18,229751,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104191.png,raw_tiles/ort_riku10/z18/x229751_y104191.png,"135.514984131,34.597041516,135.516357422,34.598171954",cached,37d080b74b7abf5a9c0063b05f163b225b578019ead8ff53270d753a901720f1,200_cached,2026-06-25T14:39:07Z,,S007,SSM-T01E
cache_hit,SSM-B001,SSM-B001-G11,18,229752,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104191.png,raw_tiles/ort_riku10/z18/x229752_y104191.png,"135.516357422,34.597041516,135.517730713,34.598171954",cached,bfe031dee9bdc0c93ecbd9f103af0964980401abc4be2a801904749d1178372f,200_cached,2026-06-25T14:39:07Z,,S007,SSM-T01E
cache_hit,SSM-B001,SSM-B001-G11,18,229753,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104191.png,raw_tiles/ort_riku10/z18/x229753_y104191.png,"135.517730713,34.597041516,135.519104004,34.598171954",cached,a45dd00dc9872f09667d45c61c3ed0143013839b3ae344da25515c0c30ca84c2,200_cached,2026-06-25T14:39:07Z,,S007,SSM-T01E
cache_hit,SSM-B001,SSM-B001-G11,18,229751,104192,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104192.png,raw_tiles/ort_riku10/z18/x229751_y104192.png,"135.514984131,34.595911062,135.516357422,34.597041516",cached,b5b1de381aa072c7759b5bf649824ff41a33474a2a2ba02c3f83d1bb204cf79a,200_cached,2026-06-25T14:39:07Z,,S007,SSM-T01E
downloaded,SSM-B001,SSM-B001-G11,18,229752,104192,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104192.png,raw_tiles/ort_riku10/z18/x229752_y104192.png,"135.516357422,34.595911062,135.517730713,34.597041516",downloaded,7fe0ab9eccee2bfd25c1f19dfb81b759121342b6b66195d2ac51fdc5e0a1a2fa,200,2026-06-25T14:39:08Z,,S007,SSM-T01E
downloaded,SSM-B001,SSM-B001-G11,18,229753,104192,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104192.png,raw_tiles/ort_riku10/z18/x229753_y104192.png,"135.517730713,34.595911062,135.519104004,34.597041516",downloaded,9cccb622bb921b31f0abe3d37cde87a6ada7dbf787a2c6e017c5619b8bdce855,200,2026-06-25T14:39:09Z,,S007,SSM-T01E
cache_hit,SSM-B001,SSM-B001-G11,18,229751,104193,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104193.png,raw_tiles/ort_riku10/z18/x229751_y104193.png,"135.514984131,34.594780593,135.516357422,34.595911062",cached,347d35bdc7b574878abda8a6ae2c941cbf020bde4222784793030793ac04f1c2,200_cached,2026-06-25T14:39:09Z,,S007,SSM-T01E
downloaded,SSM-B001,SSM-B001-G11,18,229752,104193,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229752/104193.png,raw_tiles/ort_riku10/z18/x229752_y104193.png,"135.516357422,34.594780593,135.517730713,34.595911062",downloaded,1f9fa520272fa598c188987d28d833837f19d78beb2103d9cc4ab977dee79faa,200,2026-06-25T14:39:10Z,,S007,SSM-T01E
downloaded,SSM-B001,SSM-B001-G11,18,229753,104193,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104193.png,raw_tiles/ort_riku10/z18/x229753_y104193.png,"135.517730713,34.594780593,135.519104004,34.595911062",downloaded,530769f561ddb48271bc3db03c2ff64794f2a0d3367db5161bc49fc8c92b6e13,200,2026-06-25T14:39:11Z,,S007,SSM-T01E
