event,block_id,grid_id,z,x,y,tile_url,local_relpath,tile_bbox_wgs84,request_status,image_sha256,http_status,attempt_utc,failure_reason,source_id,run_id
cache_hit,SSM-B001,SSM-B001-G09,18,229753,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104188.png,raw_tiles/ort_riku10/z18/x229753_y104188.png,"135.517730713,34.600432785,135.519104004,34.601563177",cached,532045c66085c3842b60ca8c6d5bd5e092bda91886b1054b2d065595d3b394f8,200_cached,2026-06-25T14:49:06Z,,S007,SSM-T01F
cache_hit,SSM-B001,SSM-B001-G09,18,229754,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104188.png,raw_tiles/ort_riku10/z18/x229754_y104188.png,"135.519104004,34.600432785,135.520477295,34.601563177",cached,cd4b40ca31f9d60a2786f898065654b4df668bd0784a67930f93fa80da3f9576,200_cached,2026-06-25T14:49:06Z,,S007,SSM-T01F
cache_hit,SSM-B001,SSM-B001-G09,18,229755,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104188.png,raw_tiles/ort_riku10/z18/x229755_y104188.png,"135.520477295,34.600432785,135.521850586,34.601563177",cached,5aeb073c7c590a4454c8b00b1b5e56d3e70fe27f9aa5460282728d3c18c66335,200_cached,2026-06-25T14:49:06Z,,S007,SSM-T01F
cache_hit,SSM-B001,SSM-B001-G09,18,229753,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104189.png,raw_tiles/ort_riku10/z18/x229753_y104189.png,"135.517730713,34.599302377,135.519104004,34.600432785",cached,46d911721e3955f7bca8d448db52bf5827d8f63b2272581666d0bf3137bd07da,200_cached,2026-06-25T14:49:06Z,,S007,SSM-T01F
downloaded,SSM-B001,SSM-B001-G09,18,229754,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104189.png,raw_tiles/ort_riku10/z18/x229754_y104189.png,"135.519104004,34.599302377,135.520477295,34.600432785",downloaded,e89cd29526c2f1d1f9f00282cf76d527915ff84cb8ea9cd5d589534f484a9db2,200,2026-06-25T14:49:07Z,,S007,SSM-T01F
downloaded,SSM-B001,SSM-B001-G09,18,229755,104189,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104189.png,raw_tiles/ort_riku10/z18/x229755_y104189.png,"135.520477295,34.599302377,135.521850586,34.600432785",downloaded,2a44401479f08b9891dda60fe40cfebe0ed6dfd1222f1016ec26161fe68686e8,200,2026-06-25T14:49:07Z,,S007,SSM-T01F
cache_hit,SSM-B001,SSM-B001-G09,18,229753,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104190.png,raw_tiles/ort_riku10/z18/x229753_y104190.png,"135.517730713,34.598171954,135.519104004,34.599302377",cached,08dbe2b3e718460e1c080eb91c4808aa9a5be117e101d9486e7b90cb7d485098,200_cached,2026-06-25T14:49:08Z,,S007,SSM-T01F
downloaded,SSM-B001,SSM-B001-G09,18,229754,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104190.png,raw_tiles/ort_riku10/z18/x229754_y104190.png,"135.519104004,34.598171954,135.520477295,34.599302377",downloaded,9dd6b6260cc97685f99a7a706c63237f6f8d3837768d275ccd484d261f6f330c,200,2026-06-25T14:49:08Z,,S007,SSM-T01F
downloaded,SSM-B001,SSM-B001-G09,18,229755,104190,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104190.png,raw_tiles/ort_riku10/z18/x229755_y104190.png,"135.520477295,34.598171954,135.521850586,34.599302377",downloaded,993becf23a747021decf7fcbe0bae345b8999e34887fd500daa1a1b0adb9e475,200,2026-06-25T14:49:09Z,,S007,SSM-T01F
cache_hit,SSM-B001,SSM-B001-G09,18,229753,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104191.png,raw_tiles/ort_riku10/z18/x229753_y104191.png,"135.517730713,34.597041516,135.519104004,34.598171954",cached,a45dd00dc9872f09667d45c61c3ed0143013839b3ae344da25515c0c30ca84c2,200_cached,2026-06-25T14:49:09Z,,S007,SSM-T01F
downloaded,SSM-B001,SSM-B001-G09,18,229754,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104191.png,raw_tiles/ort_riku10/z18/x229754_y104191.png,"135.519104004,34.597041516,135.520477295,34.598171954",downloaded,828f2369fa5f085a7ee572629f0e2835706ca8e5844d164e159c9b9edf29256f,200,2026-06-25T14:49:10Z,,S007,SSM-T01F
downloaded,SSM-B001,SSM-B001-G09,18,229755,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104191.png,raw_tiles/ort_riku10/z18/x229755_y104191.png,"135.520477295,34.597041516,135.521850586,34.598171954",downloaded,30f81be782e84e32b51095e7faa9d3eb35729c4d7cd79d0b928dc057e0d93763,200,2026-06-25T14:49:11Z,,S007,SSM-T01F
cache_hit,SSM-B001,SSM-B001-G12,18,229753,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104191.png,raw_tiles/ort_riku10/z18/x229753_y104191.png,"135.517730713,34.597041516,135.519104004,34.598171954",cached,a45dd00dc9872f09667d45c61c3ed0143013839b3ae344da25515c0c30ca84c2,200_cached,2026-06-25T14:49:11Z,,S007,SSM-T01F
cache_hit,SSM-B001,SSM-B001-G12,18,229754,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104191.png,raw_tiles/ort_riku10/z18/x229754_y104191.png,"135.519104004,34.597041516,135.520477295,34.598171954",cached,828f2369fa5f085a7ee572629f0e2835706ca8e5844d164e159c9b9edf29256f,200_cached,2026-06-25T14:49:11Z,,S007,SSM-T01F
cache_hit,SSM-B001,SSM-B001-G12,18,229755,104191,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104191.png,raw_tiles/ort_riku10/z18/x229755_y104191.png,"135.520477295,34.597041516,135.521850586,34.598171954",cached,30f81be782e84e32b51095e7faa9d3eb35729c4d7cd79d0b928dc057e0d93763,200_cached,2026-06-25T14:49:11Z,,S007,SSM-T01F
cache_hit,SSM-B001,SSM-B001-G12,18,229753,104192,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104192.png,raw_tiles/ort_riku10/z18/x229753_y104192.png,"135.517730713,34.595911062,135.519104004,34.597041516",cached,9cccb622bb921b31f0abe3d37cde87a6ada7dbf787a2c6e017c5619b8bdce855,200_cached,2026-06-25T14:49:11Z,,S007,SSM-T01F
downloaded,SSM-B001,SSM-B001-G12,18,229754,104192,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104192.png,raw_tiles/ort_riku10/z18/x229754_y104192.png,"135.519104004,34.595911062,135.520477295,34.597041516",downloaded,2c8ce39a6b6c7180395cca3961e5ce703590177f6c142584d6c74dd5e323aa2b,200,2026-06-25T14:49:12Z,,S007,SSM-T01F
downloaded,SSM-B001,SSM-B001-G12,18,229755,104192,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104192.png,raw_tiles/ort_riku10/z18/x229755_y104192.png,"135.520477295,34.595911062,135.521850586,34.597041516",downloaded,c48321e618d192dd996a6ff1cb3c3e14cbc8df14ae0c6e455ee741548a908d95,200,2026-06-25T14:49:12Z,,S007,SSM-T01F
cache_hit,SSM-B001,SSM-B001-G12,18,229753,104193,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229753/104193.png,raw_tiles/ort_riku10/z18/x229753_y104193.png,"135.517730713,34.594780593,135.519104004,34.595911062",cached,530769f561ddb48271bc3db03c2ff64794f2a0d3367db5161bc49fc8c92b6e13,200_cached,2026-06-25T14:49:13Z,,S007,SSM-T01F
downloaded,SSM-B001,SSM-B001-G12,18,229754,104193,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229754/104193.png,raw_tiles/ort_riku10/z18/x229754_y104193.png,"135.519104004,34.594780593,135.520477295,34.595911062",downloaded,509f0e35662088a25ff6aaa8233724c843e16fd432e72f611d1a042b0471906c,200,2026-06-25T14:49:13Z,,S007,SSM-T01F
downloaded,SSM-B001,SSM-B001-G12,18,229755,104193,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229755/104193.png,raw_tiles/ort_riku10/z18/x229755_y104193.png,"135.520477295,34.594780593,135.521850586,34.595911062",downloaded,299b9578402c037382de4165ff43770437d3a16e03a80465aaea9d9dd529161b,200,2026-06-25T14:49:14Z,,S007,SSM-T01F
