scan_cell_id,z,x0,y0,cell_tiles,bbox_wgs84,scope_unit_codes,scope_unit_count,coverage_status,coverage_attempt_count,coverage_checked_utc,coverage_note,preview_status,preview_relpath,preview_sha256,preview_bytes,preview_generated_utc,highres_request_status
OHG-Z17-X114808-Y51892,17,114808,51892,4,"[135.32958984375, 35.04798673426733, 135.340576171875, 35.05698043137264]",27322,1,no_source_coverage,1,2026-06-25T23:15:08Z,no_source=16/16,not_started,,,,,not_requested
OHG-Z17-X114812-Y51892,17,114812,51892,4,"[135.340576171875, 35.04798673426733, 135.3515625, 35.05698043137264]",27322,1,no_source_coverage,1,2026-06-25T23:15:15Z,no_source=16/16,not_started,,,,,not_requested
OHG-Z17-X114816-Y51892,17,114816,51892,4,"[135.3515625, 35.04798673426733, 135.362548828125, 35.05698043137264]",27322,1,no_source_coverage,1,2026-06-25T23:15:22Z,no_source=16/16,not_started,,,,,not_requested
OHG-Z17-X114820-Y51892,17,114820,51892,4,"[135.362548828125, 35.04798673426733, 135.37353515625, 35.05698043137264]",27322,1,no_source_coverage,1,2026-06-25T23:15:30Z,no_source=16/16,not_started,,,,,not_requested
OHG-Z17-X114824-Y51892,17,114824,51892,4,"[135.37353515625, 35.04798673426733, 135.384521484375, 35.05698043137264]",27322,1,no_source_coverage,1,2026-06-25T23:15:37Z,no_source=16/16,not_started,,,,,not_requested
OHG-Z17-X114804-Y51896,17,114804,51896,4,"[135.318603515625, 35.0389920467808, 135.32958984375, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-25T23:15:44Z,no_source=16/16,not_started,,,,,not_requested
OHG-Z17-X114808-Y51896,17,114808,51896,4,"[135.32958984375, 35.0389920467808, 135.340576171875, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-25T23:15:51Z,no_source=16/16,not_started,,,,,not_requested
OHG-Z17-X114812-Y51896,17,114812,51896,4,"[135.340576171875, 35.0389920467808, 135.3515625, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-25T23:15:59Z,no_source=16/16,not_started,,,,,not_requested
OHG-Z17-X114816-Y51896,17,114816,51896,4,"[135.3515625, 35.0389920467808, 135.362548828125, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-25T23:16:06Z,no_source=16/16,not_started,,,,,not_requested
OHG-Z17-X114820-Y51896,17,114820,51896,4,"[135.362548828125, 35.0389920467808, 135.37353515625, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-25T23:16:13Z,no_source=16/16,not_started,,,,,not_requested
